day;type;player;value
1;Message;10161;0.06060606060606061
1;Message;6854;0.06060606060606061
1;Message;2200;0.05825242718446602
1;Message;7682;0.05811138014527845
1;Message;4298;0.05755395683453238
1;Trade;2200;0.058673469387755105
1;Trade;10460;0.045454545454545456
1;Trade;4298;0.045364891518737675
1;Trade;11533;0.045364891518737675
1;Trade;2347;0.043478260869565216
1;Total;10161;0.044359949302915085
1;Total;6854;0.044359949302915085
1;Total;2347;0.04369538077403246
1;Total;2200;0.04315659679408138
1;Total;7682;0.042839657282741736
2;Message;2600;1.0
2;Message;2200;0.5436893203883495
2;Message;10460;0.5137614678899083
2;Message;9067;0.509090909090909
2;Message;6690;0.509090909090909
2;Trade;5402;0.06153846153846154
2;Trade;6759;0.06116207951070336
2;Trade;4298;0.05830903790087463
2;Trade;2200;0.05555555555555555
2;Trade;6690;0.055248618784530384
2;Total;2600;0.9827586206896551
2;Total;2200;0.5428571428571428
2;Total;10460;0.5089285714285714
2;Total;9067;0.504424778761062
2;Total;6690;0.504424778761062
3;Message;2200;0.07977207977207977
3;Message;10843;0.07799442896935933
3;Message;6690;0.07799442896935933
3;Message;11533;0.07777777777777778
3;Message;984;0.07777777777777778
3;Trade;5402;0.06153846153846154
3;Trade;2200;0.05555555555555555
3;Trade;6690;0.055248618784530384
3;Trade;4298;0.05
3;Trade;6759;0.05
3;Total;2200;0.05422647527910686
3;Total;11533;0.05396825396825397
3;Total;984;0.05396825396825397
3;Total;10843;0.05354330708661417
3;Total;6690;0.05354330708661417
4;Message;10843;0.07971014492753623
4;Message;7963;0.07942238267148015
4;Message;2200;0.07942238267148015
4;Message;2347;0.07885304659498207
4;Message;862;0.07885304659498207
4;Trade;2200;0.047619047619047616
4;Trade;5402;0.047516198704103674
4;Trade;2347;0.045454545454545456
4;Trade;862;0.045454545454545456
4;Trade;284;0.043478260869565216
4;Total;5402;0.058823529411764705
4;Total;2200;0.05761316872427984
4;Total;10843;0.05725971370143149
4;Total;7963;0.05702647657841141
4;Total;2347;0.056910569105691054
5;Message;3092;0.05238095238095238
5;Message;10460;0.049773755656108594
5;Message;284;0.049773755656108594
5;Message;7963;0.04966139954853273
5;Message;2600;0.047619047619047616
5;Trade;2200;0.05865921787709497
5;Trade;5402;0.047619047619047616
5;Trade;862;0.047619047619047616
5;Trade;1961;0.047619047619047616
5;Trade;2180;0.047619047619047616
5;Total;6230;0.04900181488203267
5;Total;2600;0.048561151079136694
5;Total;2180;0.047957371225577264
5;Total;3092;0.04712041884816754
5;Total;10460;0.045
6;Message;1584;0.08421052631578947
6;Message;2200;0.08108108108108109
6;Message;6230;0.08
6;Message;8444;0.08
6;Message;10843;0.07947019867549669
6;Trade;2200;0.05555555555555555
6;Trade;11533;0.047619047619047616
6;Trade;4298;0.047619047619047616
6;Trade;10460;0.047516198704103674
6;Trade;9135;0.047516198704103674
6;Total;2200;0.05783582089552239
6;Total;8444;0.05730129390018484
6;Total;6230;0.05719557195571956
6;Total;10843;0.05719557195571956
6;Total;7682;0.05656934306569343
