Day,AverageDegree
1,11.755
2,11.7
3,10.671
4,8.813
5,8.487
6,10.151
7,10.712
8,10.396
9,10.438
10,10.619
11,10.279
12,10.388
13,10.007
14,10.732
15,10.025
16,11.123
17,11.529
18,11.399
19,10.427
20,10.099
21,10.269
22,9.561
23,9.513
24,9.596
25,9.524
26,10.949
27,10.123
28,10.445
29,9.8
30,10.194
