Hour,NumberOfEdges
01,377
02,356
03,331
04,323
05,328
06,337
07,354
08,360
09,364
10,343
11,343
12,399
13,349
14,360
15,361
16,397
17,411
18,419
19,451
20,435
21,412
22,418
23,403
24,340
