Hour,NumberOfEdges
01,1706
02,1565
03,1575
04,1535
05,1601
06,1559
07,1550
08,1589
09,1625
10,1611
11,1652
12,1750
13,1729
14,1842
15,1829
16,2009
17,2065
18,2115
19,2168
20,2106
21,2049
22,1941
23,1862
24,1712
