Day,0,1-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,>100
1,0.6658354114713217,0.22265764161026005,0.04560028500178126,0.017100106875667972,0.008193801211257571,0.008193801211257571,0.004631278945493409,0.0024937655860349127,0.0017812611328820805,0.0024937655860349127,0.0014250089063056644,0.019593872461702886
2,0.6691648822269807,0.22019985724482513,0.042112776588151324,0.02069950035688794,0.012134189864382585,0.006780870806566738,0.0014275517487508922,0.0028551034975017845,0.0017844396859386152,0.0017844396859386152,0.0021413276231263384,0.01891506067094932
3,0.6674894217207334,0.2260225669957687,0.045839210155148094,0.01304654442877292,0.009873060648801129,0.007404795486600846,0.003526093088857546,0.001763046544428773,0.003173483779971791,0.0021156558533145277,0.001763046544428773,0.017983074753173484
4,0.6760147601476014,0.22509225092250923,0.03690036900369004,0.016236162361623615,0.008118081180811807,0.008487084870848708,0.004059040590405904,0.0033210332103321034,0.002952029520295203,0.0018450184501845018,0.00036900369003690036,0.016605166051660517
5,0.606156631960163,0.27252150294250793,0.057944771389769126,0.019918515165233137,0.007695789950203712,0.0036215482118605704,0.004979628791308284,0.003168854685377999,0.0022634676324128564,0.0022634676324128564,0.0,0.019465821638750568
6,0.6215482118605704,0.2598460842009959,0.052059755545495696,0.018560434585785424,0.008601177003168854,0.005885015844273427,0.004074241738343142,0.002716161158895428,0.0009053870529651426,0.0036215482118605704,0.0018107741059302852,0.020371208691715707
7,0.6212882594792143,0.25034262220191866,0.05756052992233897,0.02055733211512106,0.009136592051164915,0.008222932846048425,0.005025125628140704,0.001827318410232983,0.0013704888076747374,0.0022841480127912287,0.0009136592051164915,0.02147099132023755
8,0.6150299677270632,0.2674043337943753,0.047487321346242506,0.01751959428307976,0.0119870908252651,0.007837713231904103,0.005071461502996773,0.004149377593360996,0.0013831258644536654,0.0009220839096357768,0.003227293683725219,0.017980636237897647
9,0.6127679403541473,0.2646784715750233,0.048928238583411,0.02516309412861137,0.010251630941286114,0.005591798695246971,0.007921714818266543,0.002329916123019571,0.001863932898415657,0.001863932898415657,0.002329916123019571,0.016309412861136997
10,0.6158508158508158,0.2592074592074592,0.05034965034965035,0.02470862470862471,0.012121212121212121,0.006060606060606061,0.004195804195804196,0.002797202797202797,0.0009324009324009324,0.0037296037296037296,0.0013986013986013986,0.018648018648018648
11,0.6294063079777366,0.2541743970315399,0.04916512059369202,0.018089053803339517,0.010667903525046383,0.006957328385899814,0.00510204081632653,0.002319109461966605,0.0013914656771799629,0.003246753246753247,0.0027829313543599257,0.016697588126159554
12,0.6248799231508165,0.2579250720461095,0.0494716618635927,0.01585014409221902,0.012968299711815562,0.007204610951008645,0.002881844380403458,0.0024015369836695487,0.0033621517771373678,0.0019212295869356388,0.001440922190201729,0.0196926032660903
13,0.6200387221684415,0.26137463697967084,0.05275895450145208,0.014036786060019362,0.011616650532429816,0.0062923523717328175,0.00484027105517909,0.00484027105517909,0.00484027105517909,0.001452081316553727,0.001936108422071636,0.015972894482090997
14,0.6151603498542274,0.2628765792031098,0.048104956268221574,0.01749271137026239,0.013119533527696793,0.007288629737609329,0.004859086491739553,0.004373177842565598,0.005344995140913508,0.001943634596695821,0.001943634596695821,0.01749271137026239
15,0.6164658634538153,0.26656626506024095,0.04618473895582329,0.014558232931726908,0.011546184738955823,0.006526104417670682,0.006526104417670682,0.006526104417670682,0.0035140562248995983,0.0025100401606425703,0.0015060240963855422,0.017570281124497992
16,0.6271356783919598,0.24723618090452262,0.04773869346733668,0.021105527638190954,0.01306532663316583,0.010050251256281407,0.004522613065326633,0.004020100502512563,0.005025125628140704,0.0020100502512562816,0.001507537688442211,0.016582914572864323
17,0.6309278350515464,0.2381443298969072,0.05412371134020619,0.018556701030927835,0.015463917525773196,0.00979381443298969,0.005154639175257732,0.003092783505154639,0.002061855670103093,0.0015463917525773195,0.0005154639175257732,0.020618556701030927
18,0.6298429319371728,0.24973821989528797,0.04712041884816754,0.019895287958115182,0.011518324607329843,0.006806282722513089,0.006806282722513089,0.0020942408376963353,0.0010471204188481676,0.002617801047120419,0.0015706806282722514,0.020942408376963352
19,0.6387811634349031,0.24321329639889197,0.04542936288088643,0.016066481994459834,0.009972299168975069,0.012742382271468145,0.00775623268698061,0.002770083102493075,0.00110803324099723,0.0016620498614958448,0.002770083102493075,0.01772853185595568
20,0.615046677649643,0.26359143327841844,0.058209774848984076,0.013728720483250962,0.009884678747940691,0.0060406370126304225,0.004942339373970346,0.0032948929159802307,0.0005491488193300384,0.0032948929159802307,0.0005491488193300384,0.02086765513454146
21,0.6219912472647703,0.2609409190371991,0.047592997811816196,0.019693654266958426,0.009846827133479213,0.005470459518599562,0.00437636761487965,0.004923413566739606,0.0032822757111597373,0.002735229759299781,0.0,0.019146608315098467
22,0.6090140845070423,0.2608450704225352,0.05295774647887324,0.022535211267605635,0.016338028169014085,0.008450704225352112,0.003943661971830986,0.004507042253521127,0.0028169014084507044,0.0011267605633802818,0.0,0.017464788732394366
23,0.6102771362586605,0.2603926096997691,0.05658198614318707,0.02020785219399538,0.012702078521939953,0.010969976905311778,0.005196304849884526,0.0017321016166281756,0.004618937644341801,0.0005773672055427252,0.002886836027713626,0.013856812933025405
24,0.6101398601398601,0.2680652680652681,0.051864801864801864,0.02156177156177156,0.008741258741258742,0.008158508158508158,0.005244755244755245,0.004662004662004662,0.0034965034965034965,0.0017482517482517483,0.0011655011655011655,0.015151515151515152
25,0.6357575757575757,0.25393939393939396,0.040606060606060604,0.01575757575757576,0.015151515151515152,0.009696969696969697,0.005454545454545455,0.0024242424242424242,0.0024242424242424242,0.0036363636363636364,0.0018181818181818182,0.013333333333333334
26,0.6286919831223629,0.2628089210367691,0.03918022905364678,0.013261000602772756,0.013261000602772756,0.009041591320072333,0.0054249547920434,0.004219409282700422,0.0030138637733574444,0.0024110910186859553,0.0024110910186859553,0.0162748643761302
27,0.6069330199764983,0.27262044653349,0.046415981198589897,0.026439482961222092,0.0099882491186839,0.005287896592244419,0.004112808460634548,0.004700352526439483,0.002937720329024677,0.0011750881316098707,0.0017626321974148062,0.01762632197414806
28,0.6166564605021433,0.26393141457440294,0.043478260869565216,0.017758726270667484,0.009797917942437232,0.009185548071034905,0.00612369871402327,0.009797917942437232,0.004898958971218616,0.000612369871402327,0.000612369871402327,0.017146356399265157
29,0.6166172106824925,0.2587537091988131,0.05341246290801187,0.017210682492581602,0.011275964391691394,0.00771513353115727,0.005341246290801187,0.004747774480712166,0.0017804154302670622,0.004154302670623145,0.002967359050445104,0.016023738872403562
30,0.6086427267194157,0.2732805842970176,0.049300060864272674,0.014607425441265977,0.013390139987827145,0.007303712720632989,0.007303712720632989,0.002434570906877663,0.0030432136335970784,0.0030432136335970784,0.0018259281801582471,0.01582471089470481
