Type,Range,Value
Attack,0,0.6261184353599897
Attack,1-10,0.2549463846065
Attack,11-20,0.0488160296417622
Attack,21-30,0.018397431306277887
Attack,31-40,0.011280957475910082
Attack,41-50,0.00763563538549669
Attack,51-60,0.0050275150449255466
Attack,61-70,0.0035767636631192892
Attack,71-80,0.0026322424594100832
Attack,81-90,0.002211620898165335
Attack,91-100,0.0015783688475190564
Attack,>100,0.01777861531092396
