Day,0,1-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,>100
1,0.40499235863474276,0.46459500764136524,0.05909322465613857,0.023433520122261846,0.007131940906775344,0.004584819154355578,0.003565970453387672,0.0056036678553234845,0.0015282730514518594,0.005094243504839531,0.0010188487009679063,0.01935812531839022
2,0.45571428571428574,0.430952380952381,0.051904761904761905,0.018095238095238095,0.004285714285714286,0.007142857142857143,0.0038095238095238095,0.006666666666666667,0.002857142857142857,0.002380952380952381,0.0009523809523809524,0.015238095238095238
3,0.3801782905086523,0.4897745149449397,0.06397482957524908,0.01782905086523335,0.0057682223387519665,0.008390141583639224,0.0057682223387519665,0.007865757734661772,0.004195070791819612,0.002097535395909806,0.0015731515469323545,0.012585212375458836
4,0.44593147751605994,0.4464668094218415,0.04764453961456103,0.01980728051391863,0.006959314775160599,0.004817987152034261,0.0016059957173447537,0.004282655246252677,0.003747323340471092,0.0010706638115631692,0.0021413276231263384,0.015524625267665952
5,0.41598248494800216,0.4690749863163656,0.055281882868089764,0.012588943623426382,0.0071154898741105635,0.002736726874657909,0.0071154898741105635,0.0038314176245210726,0.003284072249589491,0.0016420361247947454,0.0010946907498631637,0.020251778872468526
6,0.4426229508196721,0.4378635642517187,0.05552617662612375,0.016922263352723427,0.008989952406134321,0.005288207297726071,0.0031729243786356425,0.004230565838180857,0.0031729243786356425,0.0010576414595452142,0.0021152829190904283,0.019037546271813855
7,0.45655449522852837,0.4404821697639377,0.043194374686087396,0.01607232546459066,0.0055248618784530384,0.0065293822199899544,0.006027122049221497,0.006027122049221497,0.0015067805123053742,0.0035158211953792064,0.0005022601707684581,0.014063284781516826
8,0.423936170212766,0.45372340425531915,0.05425531914893617,0.022872340425531913,0.009042553191489361,0.0047872340425531915,0.003723404255319149,0.006914893617021276,0.0026595744680851063,0.0005319148936170213,0.0015957446808510637,0.015957446808510637
9,0.4236401673640167,0.45083682008368203,0.056485355648535567,0.014121338912133892,0.00993723849372385,0.005230125523012552,0.004707112970711297,0.005753138075313808,0.004707112970711297,0.004707112970711297,0.0010460251046025104,0.01882845188284519
10,0.3843947217441193,0.4859437751004016,0.0642570281124498,0.01606425702811245,0.009179575444635685,0.004589787722317842,0.0068846815834767644,0.005737234652897304,0.0034423407917383822,0.0011474469305794606,0.0005737234652897303,0.01778542742398164
11,0.4273881833241303,0.4605190502484815,0.054113749309773605,0.014908890115958034,0.008282716731087797,0.004417448923246825,0.004417448923246825,0.005521811154058531,0.003865267807840972,0.0016565433462175593,0.0022087244616234127,0.012700165654334622
12,0.4462629569012548,0.4440807419530824,0.0447354064375341,0.01309328968903437,0.009819967266775777,0.005455537370430988,0.009274413529732678,0.008183306055646482,0.0010911074740861974,0.0010911074740861974,0.0005455537370430987,0.016366612111292964
13,0.4507278835386338,0.43001119820828665,0.05655095184770437,0.015117581187010079,0.007838745800671893,0.005039193729003359,0.006718924972004479,0.002799552071668533,0.0033594624860022394,0.0016797312430011197,0.0016797312430011197,0.018477043673012318
14,0.4058891454965358,0.470554272517321,0.05889145496535797,0.020785219399538105,0.008083140877598153,0.006928406466512702,0.004618937644341801,0.006928406466512702,0.0017321016166281756,0.0023094688221709007,0.0017321016166281756,0.011547344110854504
15,0.45469893078221724,0.43387732132808104,0.04783342712436691,0.018007878446820485,0.009566685424873381,0.0033764772087788407,0.007315700619020821,0.005064715813168261,0.0028137310073157004,0.0011254924029262803,0.0005627462014631402,0.015756893640967922
16,0.47843137254901963,0.41792717086834735,0.036414565826330535,0.014565826330532213,0.007282913165266107,0.007282913165266107,0.008403361344537815,0.00784313725490196,0.0028011204481792717,0.0028011204481792717,0.0011204481792717086,0.015126050420168067
17,0.43596059113300495,0.44273399014778325,0.05233990147783251,0.020935960591133004,0.008004926108374385,0.007389162561576354,0.009236453201970444,0.004310344827586207,0.0018472906403940886,0.0012315270935960591,0.0006157635467980296,0.01539408866995074
18,0.4696707105719237,0.43038705950317735,0.03870595031773541,0.012131715771230503,0.005777007510109763,0.002310803004043905,0.008665511265164644,0.005777007510109763,0.004043905257076834,0.0011554015020219526,0.0017331022530329288,0.019641825534373193
19,0.47708082026537996,0.4041013268998794,0.048854041013269,0.015681544028950542,0.010253317249698432,0.004221954161640531,0.007840772014475271,0.007840772014475271,0.004221954161640531,0.0018094089264173703,0.0006031363088057901,0.017490952955367914
20,0.44307091737150295,0.44567338972023424,0.04749512036434613,0.020169160702667534,0.004554326610279766,0.0071567989590110605,0.006506180871828237,0.006506180871828237,0.002602472348731295,0.001951854261548471,0.0006506180871828237,0.013662979830839297
21,0.4446564885496183,0.45165394402035625,0.04007633587786259,0.01653944020356234,0.008905852417302799,0.004452926208651399,0.0031806615776081423,0.0057251908396946565,0.003816793893129771,0.0019083969465648854,0.002544529262086514,0.01653944020356234
22,0.49055453991468617,0.38391224862888484,0.04875076173065204,0.021328458257160267,0.009750152346130409,0.008531383302864107,0.008531383302864107,0.007312614259597806,0.001218769043266301,0.0018281535648994515,0.0018281535648994515,0.016453382084095063
23,0.4846813725490196,0.4068627450980392,0.04534313725490196,0.013480392156862746,0.006127450980392157,0.004901960784313725,0.007352941176470588,0.007965686274509803,0.001838235294117647,0.0012254901960784314,0.0012254901960784314,0.018995098039215685
24,0.49134734239802225,0.41285537700865266,0.037082818294190356,0.009888751545117428,0.00865265760197775,0.004944375772558714,0.007416563658838072,0.004326328800988875,0.0030902348578491965,0.0030902348578491965,0.0006180469715698393,0.01668726823238566
25,0.5327709279688514,0.3861129136924075,0.04153147306943543,0.005191434133679429,0.003244646333549643,0.006489292667099286,0.007138221933809215,0.003893575600259572,0.0012978585334198572,0.0025957170668397143,0.0006489292667099286,0.009085009733939001
26,0.48361252731245447,0.4166059723233795,0.04297159504734159,0.014566642388929352,0.010924981791697014,0.005826656955571741,0.005826656955571741,0.005098324836125273,0.0014566642388929353,0.004369992716678805,0.0007283321194464676,0.008011653313911144
