Type,Range,Value
Message,0,0.4537555211371081
Message,1-10,0.43565312720118626
Message,11-20,0.04865512091757108
Message,21-30,0.016174042104351305
Message,31-40,0.007508438569350852
Message,41-50,0.00554732277586733
Message,51-60,0.005989942278191585
Message,61-70,0.005717556652390177
Message,71-80,0.002672926364177557
Message,81-90,0.002101030163375242
Message,91-100,0.0012572873606162952
Message,>100,0.01496768447581418
