day,density
1,0.0022526562308711313
2,0.0019571370501703694
3,0.002159036103621835
4,0.0022080678236189367
5,0.0023324059855573307
6,0.0022647619942251476
7,0.0021939925309290404
8,0.0022364781223326046
9,0.0024033442518426387
10,0.002465204521044539
11,0.002368187691355596
12,0.002561262876630454
13,0.002545295577384418
14,0.0026125614206527234
15,0.00256963537860068
16,0.002781812781812782
17,0.0026924122600573215
18,0.0027546654641930172
19,0.0026873964844793506
20,0.0027331570496799185
21,0.002795089895595465
22,0.002863532546631138
23,0.0027010236879777437
24,0.0026784727376083627
25,0.0024644628145117356
26,0.0027979307424075106
27,0.002695507726308916
28,0.002573898916470475
29,0.0027784442442859787
30,0.0026000724733875567
