day,density
1,0.0010982129840083935
2,0.0009485312847738943
3,0.0010741504400305826
4,0.001121238599894717
5,0.0012308738710818691
6,0.0012406756591504815
7,0.0011774913237481408
8,0.0011660861854299652
9,0.0011866135762172892
10,0.0013392213410237924
11,0.0013244109446189664
12,0.0013130175546936958
13,0.0013920686635651635
14,0.0014677761124605923
15,0.0014052653536218518
16,0.0014855687606112054
17,0.001589776200537447
18,0.001399843112542135
19,0.0013834566912698167
20,0.0014524970612539425
21,0.0014858610428959938
22,0.0014289529914529914
23,0.0013362777866199797
24,0.0013737637280224725
25,0.0014173367216873361
26,0.0017736719107664786
27,0.001638496033114867
28,0.0015648808981154683
29,0.001791006679051036
30,0.0015701343648208469
