day,density
1,0.0014598226129103958
2,0.0012667194000902725
3,0.0013944129943227108
4,0.001334209802019619
5,0.0014283402675121155
6,0.001375456580339531
7,0.0013196362663392908
8,0.0013908227957128312
9,0.0016045149514927243
10,0.0014933309300648881
11,0.0013773756124775343
12,0.0016211929481378888
13,0.0015171194176609578
14,0.0015423923716987957
15,0.001549242317307662
16,0.001718599154432571
17,0.0015002960272925139
18,0.001735608529688818
19,0.0016637067605624163
20,0.0016131097170656767
21,0.0017205727742150736
22,0.0017747314622314622
23,0.0017168609003719618
24,0.0016618233675210258
25,0.001345187227936284
26,0.0013835654167599328
27,0.0013773222293401665
28,0.0013902817029811285
29,0.0013854422212453382
30,0.0013580686753528772
