day,Reciprocity
1,0.8941587618572142
2,0.8810429114611624
3,0.90016456390565
4,0.8911860718171926
5,0.8768373035985808
6,0.8863302302792748
7,0.894266917293233
8,0.903954802259887
9,0.8908616187989556
10,0.8837209302325582
11,0.9008686765457332
12,0.9016053858104609
13,0.8838383838383839
14,0.8980228928199792
15,0.8917364016736402
16,0.8887254901960784
17,0.8871873404798366
18,0.8761394101876676
19,0.8275482093663912
20,0.829585798816568
21,0.8767371601208459
22,0.8721759809750297
23,0.8428665351742275
24,0.8588235294117647
25,0.8578878748370273
26,0.8944543828264758
27,0.8826979472140762
28,0.8602985074626865
29,0.8786585365853659
30,0.8799755052051439
