day,Reciprocity
1,0.8019607843137255
2,0.7873684210526316
3,0.8098501070663812
4,0.8086206896551724
5,0.7930483419896125
6,0.7922427035330261
7,0.80884019644881
8,0.8257261410788381
9,0.7887896019496344
10,0.7882069795427196
11,0.8134568896051572
12,0.8119868637110016
13,0.7897012578616353
14,0.7819607843137255
15,0.7827298050139275
16,0.8016304347826086
17,0.8008814102564102
18,0.7689755288262132
19,0.7381771281169389
20,0.7470835277648157
21,0.7939110070257611
22,0.7769299820466786
23,0.7504826254826255
24,0.7779990044798407
25,0.7742097340692423
26,0.8364329995231283
27,0.7956795679567957
28,0.7850510677808727
29,0.8077290076335878
30,0.8155958803334968
