day,diameter
1,0.49422665716322167
2,0.48069586448954676
3,0.4986599400914394
4,0.4862370199439591
5,0.4805946791862285
6,0.49579308195699595
7,0.49344978165938863
8,0.5067707503584515
9,0.4649173673528559
10,0.5197954470471792
11,0.5189509306260576
12,0.46474601971190294
13,0.4918744971842317
14,0.5364283293798713
15,0.48817239144523655
16,0.46928968313560593
17,0.5409658166033641
18,0.45233265720081134
19,0.47453310696095075
20,0.4836852207293666
21,0.4754337899543379
22,0.4699694604682728
23,0.4549069221037412
24,0.4627831715210356
25,0.4906956136464333
26,0.5571527938789705
27,0.5388745704467354
28,0.5182090831191088
29,0.5789220404234842
30,0.5379876796714579
