day,Reciprocity
1,0.5558166862514688
2,0.5619174434087882
3,0.5386444708680143
4,0.5
5,0.5462555066079295
6,0.5321100917431193
7,0.5335276967930029
8,0.5688888888888889
9,0.5406976744186046
10,0.5883233532934131
11,0.5843023255813954
12,0.5411931818181818
13,0.5464949928469242
14,0.5463768115942029
15,0.5561594202898551
16,0.5912408759124088
17,0.59375
18,0.5490909090909091
19,0.5414710485133021
20,0.5891304347826087
21,0.5566600397614314
22,0.5610619469026549
23,0.5513513513513514
24,0.4839797639123103
25,0.47191011235955055
26,0.5849056603773585
27,0.5284210526315789
28,0.5675057208237986
29,0.552
30,0.5717592592592593
