day,diameter
1,0.23745473357475427
2,0.22107550244432372
3,0.23475699558173785
4,0.2203016970458831
5,0.21031168074570347
6,0.22310172969803577
7,0.21111734980348118
8,0.23314689431851635
9,0.21675366641809596
10,0.2424531299650461
11,0.21687563537783802
12,0.18872549019607843
13,0.19857936998147005
14,0.2518568534773801
15,0.19437939110070257
16,0.18999735379730087
17,0.22549019607843138
18,0.18293333333333334
19,0.2115625
20,0.2195729537366548
21,0.20967207684663797
22,0.20053555489437666
23,0.19165621079046424
24,0.1906574394463668
25,0.18777484608619174
26,0.19406041986687148
27,0.21217712177121772
28,0.19885864793678665
29,0.2413594470046083
30,0.21065259117082533
