day,diameter
1,0.3014422100345318
2,0.29017761609244597
3,0.30609046126287504
4,0.2841409691629956
5,0.2697414395527603
6,0.27959280303030304
7,0.27004504504504506
8,0.2971185640056684
9,0.27155700858193704
10,0.31115557778889447
11,0.2969963749352667
12,0.25175592625109744
13,0.2714877039201363
14,0.31311816762103073
15,0.2537313432835821
16,0.24911111111111112
17,0.295832118915768
18,0.23720405862457722
19,0.27014698428788647
20,0.2803628914252268
21,0.2636040470330872
22,0.25910329452563785
23,0.25
24,0.24896494617720122
25,0.2400282386163078
26,0.2703569995988769
27,0.2752093192573717
28,0.2669476642079382
29,0.32088285229202035
30,0.28549962434259957
