day;averagePathLength
1;4.362991353262216
2;4.5135987965454625
3;4.417363959245335
4;4.30254456345599
5;4.322889713987353
6;4.3347286956326885
7;4.209229620707742
8;4.276489317578672
9;4.224390487803304
10;4.240504164615788
11;4.1482814639106556
12;4.107726402919318
13;4.162823679655862
14;4.203989766507982
15;4.166944990522897
16;4.078832009362987
17;4.1429294905734215
18;4.186044498311834
19;4.048637783042598
20;4.11676612154813
21;4.093661136594219
22;4.061927523777904
23;4.299531914030408
24;4.20042810805132
25;4.123837971770927
26;4.008058532512054
27;3.9813556691482384
28;4.0748416082776995
29;4.046074657915855
30;4.031870674637424
