day,averageDegree
1,1.484369726
2,1.40832758
3,1.556461613
4,1.320423437
5,1.406292723
6,1.422174948
7,1.315825568
8,1.409171091
9,1.363268952
10,1.40110589
11,1.510855987
12,1.514731919
13,1.739092366
14,1.460237273
15,1.304601265
16,1.303177421
17,1.64804805
18,1.335634284
19,1.614629883
20,1.147581606
21,1.185564172
22,1.460670661
23,1.432048835
24,1.252334861
25,1.082921392
26,1.337187748
27,1.171694817
28,1.050392653
29,1.360147457
30,1.138681875
