day,diameter
1,10
2,9
3,11
4,8
5,10
6,10
7,10
8,9
9,8
10,10
11,7
12,9
13,11
14,8
15,8
16,8
17,12
18,8
19,7
20,11
21,8
22,7
23,10
24,7
25,7
26,6
27,9
28,8
29,7
30,10
