day,diameter
1,15
2,21
3,24
4,22
5,28
6,19
7,19
8,16
9,24
10,20
11,15
12,25
13,20
14,16
15,21
16,19
17,17
18,16
19,14
20,26
21,17
22,20
23,15
24,15
25,17
26,21
27,16
28,17
29,17
30,16
