day,diameter
1,8
2,7
3,7
4,6
5,5
6,6
7,7
8,8
9,7
10,7
11,7
12,5
13,7
14,8
15,5
16,8
17,9
18,5
19,7
20,7
21,6
22,6
23,7
24,6
25,6
26,8
27,6
28,8
29,9
30,6
