day,diameter
1,15
2,13
3,15
4,16
5,18
6,15
7,14
8,13
9,15
10,16
11,15
12,16
13,16
14,16
15,15
16,15
17,15
18,15
19,14
20,16
21,16
22,14
23,15
24,16
25,22
26,19
27,18
28,20
29,20
30,15
