day,diameter
1,10
2,12
3,10
4,10
5,11
6,11
7,10
8,11
9,11
10,11
11,10
12,11
13,10
14,11
15,11
16,10
17,10
18,9
19,10
20,10
21,10
22,9
23,10
24,10
25,11
26,10
27,10
28,10
29,9
30,10
