day,diameter
1,11
2,12
3,12
4,10
5,12
6,12
7,11
8,10
9,12
10,11
11,12
12,12
13,12
14,12
15,12
16,11
17,10
18,10
19,10
20,14
21,11
22,13
23,10
24,14
25,12
26,12
27,10
28,11
29,12
30,11
