day;averagePathLength
1;4.277126879152217
2;4.430822449152545
3;4.2930289700303605
4;4.335740366899833
5;4.3423924816289805
6;4.2952031898816765
7;4.225307635406274
8;4.225753908741109
9;4.243765649186005
10;4.226754479052327
11;4.321270012699776
12;4.159566062257213
13;4.120239439760434
14;4.14425184208368
15;4.162056960769305
16;4.115462797943837
17;4.129444790700224
18;4.155646860638951
19;4.089488145067114
20;4.240850571473962
21;4.188151398145179
22;4.1888907980534285
23;4.264898565339271
24;4.227944689029295
25;4.209456285587209
26;4.263664369538005
27;4.210904798515171
28;4.26755029367942
29;4.218318622860815
30;4.217500228931784
