day,type,range,value
16,N_M,61-70,0.000565611
16,N_M,71-80,0.0
16,N_M,81-90,0.0
16,N_M,91-100,0.0
16,N_M,>100,0.0
17,N_M,0,0.716409037
17,N_M,1-10,0.246135553
17,N_M,11-20,0.020214031
17,N_M,21-30,0.010701546
17,N_M,31-40,0.004161712
17,N_M,41-50,0.0
17,N_M,51-60,0.001783591
17,N_M,61-70,0.0
17,N_M,71-80,0.0
17,N_M,81-90,0.0
17,N_M,91-100,0.0
17,N_M,>100,0.00059453
18,N_M,0,0.736540664
18,N_M,1-10,0.235967927
18,N_M,11-20,0.017754868
18,N_M,21-30,0.005727377
18,N_M,31-40,0.000572738
18,N_M,41-50,0.001718213
18,N_M,51-60,0.000572738
18,N_M,61-70,0.0
18,N_M,71-80,0.000572738
18,N_M,81-90,0.0
18,N_M,91-100,0.000572738
18,N_M,>100,0.0
19,N_M,0,0.678947368
19,N_M,1-10,0.287719298
19,N_M,11-20,0.019883041
19,N_M,21-30,0.005263158
19,N_M,31-40,0.004093567
19,N_M,41-50,0.001169591
19,N_M,51-60,0.001754386
19,N_M,61-70,0.0
19,N_M,71-80,0.000584795
19,N_M,81-90,0.000584795
19,N_M,91-100,0.0
19,N_M,>100,0.0
20,N_M,0,0.729763387
20,N_M,1-10,0.245952677
20,N_M,11-20,0.019302615
20,N_M,21-30,0.003113325
20,N_M,31-40,0.000622665
20,N_M,41-50,0.000622665
20,N_M,51-60,0.000622665
20,N_M,61-70,0.0
20,N_M,71-80,0.0
20,N_M,81-90,0.0
20,N_M,91-100,0.0
20,N_M,>100,0.0
21,N_M,0,0.722914072
21,N_M,1-10,0.255915318
21,N_M,11-20,0.013075965
21,N_M,21-30,0.00498132
21,N_M,31-40,0.0
21,N_M,41-50,0.001867995
21,N_M,51-60,0.000622665
21,N_M,61-70,0.000622665
21,N_M,71-80,0.0
21,N_M,81-90,0.0
21,N_M,91-100,0.0
21,N_M,>100,0.0
22,N_M,0,0.727327327
22,N_M,1-10,0.234234234
22,N_M,11-20,0.024024024
22,N_M,21-30,0.008408408
22,N_M,31-40,0.003603604
22,N_M,41-50,0.001801802
22,N_M,51-60,0.0
22,N_M,61-70,0.000600601
22,N_M,71-80,0.0
22,N_M,81-90,0.0
22,N_M,91-100,0.0
22,N_M,>100,0.0
23,N_M,0,0.72026699
23,N_M,1-10,0.246359223
23,N_M,11-20,0.020024272
23,N_M,21-30,0.00788835
23,N_M,31-40,0.001820388
23,N_M,41-50,0.001213592
23,N_M,51-60,0.001213592
23,N_M,61-70,0.000606796
23,N_M,71-80,0.000606796
23,N_M,81-90,0.0
23,N_M,91-100,0.0
23,N_M,>100,0.0
24,N_M,0,0.719776813
24,N_M,1-10,0.255424675
24,N_M,11-20,0.016119033
24,N_M,21-30,0.00433974
24,N_M,31-40,0.001239926
24,N_M,41-50,0.001859888
24,N_M,51-60,0.000619963
24,N_M,61-70,0.000619963
24,N_M,71-80,0.0
24,N_M,81-90,0.0
24,N_M,91-100,0.0
24,N_M,>100,0.0
25,N_M,0,0.758227848
25,N_M,1-10,0.217721519
25,N_M,11-20,0.017088608
25,N_M,21-30,0.003797468
25,N_M,31-40,0.0
25,N_M,41-50,0.001265823
25,N_M,51-60,0.000632911
25,N_M,61-70,0.001265823
25,N_M,71-80,0.0
25,N_M,81-90,0.0
25,N_M,91-100,0.0
25,N_M,>100,0.0
26,N_M,0,0.737449118
26,N_M,1-10,0.230664858
26,N_M,11-20,0.020352782
26,N_M,21-30,0.005427408
26,N_M,31-40,0.00339213
26,N_M,41-50,0.001356852
26,N_M,51-60,0.0
26,N_M,61-70,0.000678426
26,N_M,71-80,0.000678426
26,N_M,81-90,0.0
26,N_M,91-100,0.0
26,N_M,>100,0.0
27,N_M,0,0.746316464
27,N_M,1-10,0.229340167
27,N_M,11-20,0.01409353
27,N_M,21-30,0.00512492
27,N_M,31-40,0.00384369
27,N_M,41-50,0.00128123
27,N_M,51-60,0.0
27,N_M,61-70,0.0
27,N_M,71-80,0.0
27,N_M,81-90,0.0
27,N_M,91-100,0.0
27,N_M,>100,0.0
28,N_M,0,0.754464286
28,N_M,1-10,0.223852041
28,N_M,11-20,0.015306122
28,N_M,21-30,0.004464286
28,N_M,31-40,0.00127551
28,N_M,41-50,0.000637755
28,N_M,51-60,0.0
28,N_M,61-70,0.0
28,N_M,71-80,0.0
28,N_M,81-90,0.0
28,N_M,91-100,0.0
28,N_M,>100,0.0
29,N_M,0,0.70790378
29,N_M,1-10,0.262542955
29,N_M,11-20,0.019243986
29,N_M,21-30,0.005498282
29,N_M,31-40,0.00137457
29,N_M,41-50,0.002061856
29,N_M,51-60,0.00137457
29,N_M,61-70,0.0
29,N_M,71-80,0.0
29,N_M,81-90,0.0
29,N_M,91-100,0.0
29,N_M,>100,0.0
30,N_M,0,0.759114583
30,N_M,1-10,0.217447917
30,N_M,11-20,0.014322917
30,N_M,21-30,0.005859375
30,N_M,31-40,0.001953125
30,N_M,41-50,0.000651042
30,N_M,51-60,0.000651042
30,N_M,61-70,0.0
30,N_M,71-80,0.0
30,N_M,81-90,0.0
30,N_M,91-100,0.0
30,N_M,>100,0.0
1,N_T,0,0.559139785
1,N_T,1-10,0.355816227
1,N_T,11-20,0.053274682
1,N_T,21-30,0.018084066
1,N_T,31-40,0.004887586
1,N_T,41-50,0.00342131
1,N_T,51-60,0.000977517
1,N_T,61-70,0.001466276
1,N_T,71-80,0.0
1,N_T,81-90,0.000977517
1,N_T,91-100,0.0
1,N_T,>100,0.001955034
2,N_T,0,0.592155009
2,N_T,1-10,0.330812854
2,N_T,11-20,0.050567108
2,N_T,21-30,0.012287335
2,N_T,31-40,0.005671078
2,N_T,41-50,0.003308129
2,N_T,51-60,0.002362949
2,N_T,61-70,0.001417769
2,N_T,71-80,0.00094518
2,N_T,81-90,0.00047259
2,N_T,91-100,0.0
2,N_T,>100,0.0
3,N_T,0,0.564516129
3,N_T,1-10,0.355342742
3,N_T,11-20,0.048387097
3,N_T,21-30,0.016633065
3,N_T,31-40,0.009072581
3,N_T,41-50,0.003024194
3,N_T,51-60,0.000504032
3,N_T,61-70,0.001512097
3,N_T,71-80,0.0
3,N_T,81-90,0.0
3,N_T,91-100,0.0
3,N_T,>100,0.001008065
4,N_T,0,0.574160207
4,N_T,1-10,0.343152455
4,N_T,11-20,0.05374677
4,N_T,21-30,0.015503876
4,N_T,31-40,0.005684755
4,N_T,41-50,0.001033592
4,N_T,51-60,0.002583979
4,N_T,61-70,0.001550388
4,N_T,71-80,0.001550388
4,N_T,81-90,0.000516796
4,N_T,91-100,0.0
4,N_T,>100,0.000516796
5,N_T,0,0.55026178
5,N_T,1-10,0.356544503
5,N_T,11-20,0.053926702
5,N_T,21-30,0.021989529
5,N_T,31-40,0.006282723
5,N_T,41-50,0.004188482
5,N_T,51-60,0.003141361
5,N_T,61-70,0.001570681
5,N_T,71-80,0.0
5,N_T,81-90,0.0
5,N_T,91-100,0.00104712
5,N_T,>100,0.00104712
6,N_T,0,0.543814433
6,N_T,1-10,0.359793814
6,N_T,11-20,0.054639175
6,N_T,21-30,0.024742268
6,N_T,31-40,0.008247423
6,N_T,41-50,0.00257732
6,N_T,51-60,0.00257732
6,N_T,61-70,0.00257732
6,N_T,71-80,0.000515464
6,N_T,81-90,0.000515464
6,N_T,91-100,0.0
6,N_T,>100,0.0
7,N_T,0,0.564204264
7,N_T,1-10,0.340109073
7,N_T,11-20,0.059990084
7,N_T,21-30,0.015865146
7,N_T,31-40,0.007436787
7,N_T,41-50,0.007436787
7,N_T,51-60,0.002478929
7,N_T,61-70,0.000495786
7,N_T,71-80,0.000991572
7,N_T,81-90,0.000495786
7,N_T,91-100,0.0
7,N_T,>100,0.000495786
8,N_T,0,0.568193515
8,N_T,1-10,0.339166238
8,N_T,11-20,0.057128152
8,N_T,21-30,0.016984045
8,N_T,31-40,0.007720021
8,N_T,41-50,0.006176016
8,N_T,51-60,0.00257334
8,N_T,61-70,0.000514668
8,N_T,71-80,0.001029336
8,N_T,81-90,0.000514668
8,N_T,91-100,0.0
8,N_T,>100,0.0
9,N_T,0,0.575505968
9,N_T,1-10,0.337830825
9,N_T,11-20,0.056045667
9,N_T,21-30,0.015568241
9,N_T,31-40,0.008303062
9,N_T,41-50,0.00363259
9,N_T,51-60,0.002075765
9,N_T,61-70,0.0
9,N_T,71-80,0.000518941
9,N_T,81-90,0.0
9,N_T,91-100,0.000518941
9,N_T,>100,0.0
10,N_T,0,0.54739726
10,N_T,1-10,0.346849315
10,N_T,11-20,0.067945205
10,N_T,21-30,0.020821918
10,N_T,31-40,0.008219178
10,N_T,41-50,0.004383562
10,N_T,51-60,0.002739726
10,N_T,61-70,0.000547945
10,N_T,71-80,0.0
10,N_T,81-90,0.000547945
10,N_T,91-100,0.000547945
10,N_T,>100,0.0
11,N_T,0,0.561822126
11,N_T,1-10,0.348156182
11,N_T,11-20,0.055314534
11,N_T,21-30,0.017895879
11,N_T,31-40,0.00813449
11,N_T,41-50,0.004338395
11,N_T,51-60,0.002711497
11,N_T,61-70,0.000542299
11,N_T,71-80,0.0
11,N_T,81-90,0.001084599
11,N_T,91-100,0.0
11,N_T,>100,0.0
12,N_T,0,0.57742639
12,N_T,1-10,0.320065431
12,N_T,11-20,0.058887677
12,N_T,21-30,0.025081788
12,N_T,31-40,0.006543075
12,N_T,41-50,0.005997819
