day,type,range,value
16,N_M,41-50,0.001696833
16,N_M,51-60,0.0
16,N_M,61-70,0.0
16,N_M,71-80,0.000565611
16,N_M,81-90,0.0
16,N_M,91-100,0.0
16,N_M,>100,0.0
17,N_M,0,0.74019025
17,N_M,1-10,0.223543401
17,N_M,11-20,0.019619501
17,N_M,21-30,0.008917955
17,N_M,31-40,0.004756243
17,N_M,41-50,0.00059453
17,N_M,51-60,0.001783591
17,N_M,61-70,0.0
17,N_M,71-80,0.0
17,N_M,81-90,0.0
17,N_M,91-100,0.0
17,N_M,>100,0.00059453
18,N_M,0,0.756013746
18,N_M,1-10,0.213631157
18,N_M,11-20,0.018900344
18,N_M,21-30,0.006300115
18,N_M,31-40,0.001718213
18,N_M,41-50,0.001145475
18,N_M,51-60,0.001145475
18,N_M,61-70,0.0
18,N_M,71-80,0.0
18,N_M,81-90,0.0
18,N_M,91-100,0.000572738
18,N_M,>100,0.000572738
19,N_M,0,0.735672515
19,N_M,1-10,0.228654971
19,N_M,11-20,0.022222222
19,N_M,21-30,0.005263158
19,N_M,31-40,0.004093567
19,N_M,41-50,0.001169591
19,N_M,51-60,0.000584795
19,N_M,61-70,0.000584795
19,N_M,71-80,0.000584795
19,N_M,81-90,0.0
19,N_M,91-100,0.000584795
19,N_M,>100,0.000584795
20,N_M,0,0.737858032
20,N_M,1-10,0.235367372
20,N_M,11-20,0.02117061
20,N_M,21-30,0.004358655
20,N_M,31-40,0.000622665
20,N_M,41-50,0.0
20,N_M,51-60,0.0
20,N_M,61-70,0.0
20,N_M,71-80,0.000622665
20,N_M,81-90,0.0
20,N_M,91-100,0.0
20,N_M,>100,0.0
21,N_M,0,0.743462017
21,N_M,1-10,0.232254047
21,N_M,11-20,0.016811955
21,N_M,21-30,0.00249066
21,N_M,31-40,0.001867995
21,N_M,41-50,0.00124533
21,N_M,51-60,0.000622665
21,N_M,61-70,0.00124533
21,N_M,71-80,0.0
21,N_M,81-90,0.0
21,N_M,91-100,0.0
21,N_M,>100,0.0
22,N_M,0,0.754954955
22,N_M,1-10,0.206006006
22,N_M,11-20,0.023423423
22,N_M,21-30,0.009009009
22,N_M,31-40,0.003603604
22,N_M,41-50,0.001801802
22,N_M,51-60,0.000600601
22,N_M,61-70,0.0
22,N_M,71-80,0.000600601
22,N_M,81-90,0.0
22,N_M,91-100,0.0
22,N_M,>100,0.0
23,N_M,0,0.756067961
23,N_M,1-10,0.212985437
23,N_M,11-20,0.015169903
23,N_M,21-30,0.009101942
23,N_M,31-40,0.001820388
23,N_M,41-50,0.002427184
23,N_M,51-60,0.0
23,N_M,61-70,0.001820388
23,N_M,71-80,0.0
23,N_M,81-90,0.0
23,N_M,91-100,0.000606796
23,N_M,>100,0.0
24,N_M,0,0.753254805
24,N_M,1-10,0.223186609
24,N_M,11-20,0.014259144
24,N_M,21-30,0.002479851
24,N_M,31-40,0.002479851
24,N_M,41-50,0.002479851
24,N_M,51-60,0.000619963
24,N_M,61-70,0.0
24,N_M,71-80,0.0
24,N_M,81-90,0.000619963
24,N_M,91-100,0.0
24,N_M,>100,0.000619963
25,N_M,0,0.784810127
25,N_M,1-10,0.191139241
25,N_M,11-20,0.014556962
25,N_M,21-30,0.006329114
25,N_M,31-40,0.0
