day,nEdges,TotalWeight
1,1324,3037.0
2,1173,2980.0
3,1294,3088.0
4,1110,2555.0
5,1053,2686.0
6,1002,2759.0
7,1052,2654.0
8,1059,2738.0
9,1060,2627.0
10,1061,2557.0
11,1090,2786.0
12,1085,2778.0
13,1081,3146.0
14,1067,2570.0
15,859,2330.0
16,872,2304.0
17,867,2772.0
18,852,2332.0
19,985,2761.0
20,731,1843.0
21,783,1904.0
22,882,2432.0
23,861,2360.0
24,880,2020.0
25,655,1711.0
26,672,1971.0
27,726,1829.0
28,685,1647.0
29,776,1979.0
30,679,1749.0
