day,nEdges,TotalWeight
1,4595,8891.0
2,4245,8065.0
3,4226,8167.0
4,4196,7934.0
5,4488,8963.0
6,4667,9050.0
7,4788,9072.0
8,4400,8254.0
9,4404,8122.0
10,4458,8386.0
11,4501,8511.0
12,4414,8820.0
13,4553,8763.0
14,4544,9312.0
15,4480,9569.0
16,4641,9335.0
17,4495,9311.0
18,4265,8569.0
19,4043,8243.0
20,3744,8000.0
21,3830,8149.0
22,3959,8651.0
23,3627,7599.0
24,3572,8136.0
25,3536,7634.0
26,3851,8130.0
27,3990,8712.0
28,3845,8320.0
29,3789,8066.0
30,3702,8004.0
