day,nEdges,TotalWeight
1,801,2076.0
2,782,1877.0
3,762,1932.0
4,720,1870.0
5,785,2090.0
6,817,2232.0
7,757,2038.0
8,693,1763.0
9,783,2189.0
10,732,1904.0
11,781,2289.0
12,742,2186.0
13,823,2099.0
14,896,2670.0
15,863,2553.0
16,788,2316.0
17,798,2584.0
18,766,2238.0
19,726,2253.0
20,652,2209.0
21,724,2080.0
22,810,2512.0
23,824,2357.0
24,728,2482.0
25,686,1944.0
26,674,1762.0
27,780,2199.0
28,729,2127.0
29,708,2016.0
30,632,1854.0
