day,nEdges,TotalWeight
1,3794,6815.0
2,3463,6188.0
3,3464,6235.0
4,3476,6064.0
5,3703,6873.0
6,3850,6818.0
7,4031,7034.0
8,3707,6491.0
9,3621,5933.0
10,3726,6482.0
11,3720,6222.0
12,3672,6634.0
13,3730,6664.0
14,3648,6642.0
15,3617,7016.0
16,3853,7019.0
17,3697,6727.0
18,3499,6331.0
19,3317,5990.0
20,3092,5791.0
21,3106,6069.0
22,3149,6139.0
23,2803,5242.0
24,2844,5654.0
25,2850,5690.0
26,3177,6368.0
27,3210,6513.0
28,3116,6193.0
29,3081,6050.0
30,3070,6150.0
