Type,Range,Value
Message,0,0.027498142882315744
Message,1-10,0.775435383468974
Message,11-20,0.13240076348411256
Message,21-30,0.034769117298883885
Message,31-40,0.013400644034756274
Message,41-50,0.006852667742455623
Message,51-60,0.003513211742910103
Message,61-70,0.002104659545800469
Message,71-80,0.0012189112986726843
Message,81-90,0.0009097714434392983
Message,91-100,0.0005063806057427557
Message,>100,0.0013903464519365077
