Day,0,1-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,>100
1,0.26612041325258284,0.39045244032775206,0.14535090844317777,0.08799429996437477,0.04275026718916993,0.028143925899536872,0.017100106875667972,0.009262557890986818,0.003918774492340577,0.0024937655860349127,0.0017812611328820805,0.004631278945493409
2,0.2623126338329764,0.40756602426837973,0.14132762312633834,0.07173447537473233,0.04318344039971449,0.03140613847251963,0.017844396859386154,0.010706638115631691,0.0039257673090649535,0.0032119914346895075,0.0017844396859386152,0.004996431120628123
3,0.2644569816643159,0.41431593794076166,0.15197461212976024,0.07545839210155147,0.04231311706629055,0.022566995768688293,0.011283497884344146,0.005994358251057828,0.003173483779971791,0.0028208744710860366,0.0010578279266572638,0.004583921015514809
4,0.25977859778597784,0.47712177121771215,0.14538745387453875,0.05793357933579336,0.020664206642066422,0.014022140221402213,0.00959409594095941,0.004428044280442804,0.004797047970479705,0.002214022140221402,0.0014760147601476014,0.0025830258302583027
5,0.30194658216387504,0.447713897691263,0.12403802625622454,0.0552286102308737,0.029877772747849706,0.014486192847442281,0.009959257582616569,0.007243096423721141,0.0036215482118605704,0.0022634676324128564,0.0009053870529651426,0.002716161158895428
6,0.30013580805794476,0.4210049796287913,0.13354459031235855,0.06247170665459484,0.02761430511543685,0.015391579900407425,0.01403349932095971,0.006790402897238569,0.004526935264825713,0.0022634676324128564,0.0036215482118605704,0.008601177003168854
7,0.30105070808588397,0.40657834627683875,0.13522156235724075,0.06806761078117862,0.03563270899954317,0.01416171767930562,0.010050251256281407,0.006395614435815441,0.00548195523069895,0.005025125628140704,0.002740977615349475,0.009593421653723162
8,0.30889810972798526,0.3877362840018442,0.13877362840018442,0.07422775472568004,0.03227293683725219,0.022591055786076533,0.010603964960811434,0.009681881051175657,0.003227293683725219,0.004610419548178884,0.0018441678192715537,0.005532503457814661
9,0.3140726933830382,0.3849021435228332,0.14212488350419386,0.06989748369058714,0.032618825722273995,0.021435228331780055,0.010717614165890028,0.0065237651444548,0.0060577819198508855,0.0032618825722274,0.0032618825722274,0.005125815470643057
10,0.3072261072261072,0.3701631701631702,0.14731934731934732,0.08065268065268065,0.04382284382284382,0.022377622377622378,0.007925407925407926,0.006993006993006993,0.004195804195804196,0.002797202797202797,0.0018648018648018648,0.004662004662004662
11,0.2945269016697588,0.38589981447124305,0.150278293135436,0.07560296846011132,0.04267161410018553,0.023191094619666047,0.01020408163265306,0.006957328385899814,0.00510204081632653,0.0018552875695732839,0.0013914656771799629,0.002319109461966605
12,0.29250720461095103,0.37896253602305474,0.1642651296829971,0.07156580211335255,0.0446685878962536,0.021613832853025938,0.009125840537944284,0.005763688760806916,0.005763688760806916,0.001440922190201729,0.0019212295869356388,0.0024015369836695487
13,0.30348499515972893,0.3998063891577928,0.1447241045498548,0.06824782187802517,0.03969022265246854,0.016456921587608905,0.012100677637947725,0.00484027105517909,0.003388189738625363,0.002420135527589545,0.000968054211035818,0.003872216844143272
14,0.3104956268221574,0.38969873663751214,0.12050534499514091,0.07871720116618076,0.0413022351797862,0.0228377065111759,0.012633624878522837,0.008746355685131196,0.0058309037900874635,0.0029154518950437317,0.0014577259475218659,0.004859086491739553
15,0.3097389558232932,0.3890562248995984,0.1390562248995984,0.07228915662650602,0.0391566265060241,0.02108433734939759,0.011546184738955823,0.007530120481927711,0.002008032128514056,0.0025100401606425703,0.0035140562248995983,0.0025100401606425703
16,0.2969849246231156,0.36231155778894475,0.1527638190954774,0.08241206030150754,0.04522613065326633,0.024623115577889446,0.016582914572864323,0.007537688442211055,0.004522613065326633,0.0005025125628140704,0.0035175879396984926,0.003015075376884422
