Type,Range,Value
Attack,0,0.29793627587785654
Attack,1-10,0.39659964409508874
Attack,11-20,0.1392224711892277
Attack,21-30,0.0727878958726816
Attack,31-40,0.03875191648134804
Attack,41-50,0.023094005723887534
Attack,51-60,0.012467758242844735
Attack,61-70,0.00698915362485074
Attack,71-80,0.003922623710859199
Attack,81-90,0.00249989203076974
Attack,91-100,0.0016541257758666218
Attack,>100,0.004074237374718774
