Day,0,1-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,>100
1,0.028527763627101375,0.7325522159959246,0.16556291390728478,0.03871625063678044,0.015282730514518594,0.006113092205807438,0.003056546102903719,0.003565970453387672,0.0025471217524197657,0.0010188487009679063,0.0015282730514518594,0.0015282730514518594
2,0.02142857142857143,0.7866666666666666,0.13238095238095238,0.030476190476190476,0.009047619047619047,0.009523809523809525,0.0033333333333333335,0.0033333333333333335,0.0014285714285714286,0.0004761904761904762,0.0004761904761904762,0.0014285714285714286
3,0.0356581017304667,0.7461982170949135,0.1426324069218668,0.03932878867330886,0.01101206082852648,0.01048767697954903,0.0057682223387519665,0.0026219192448872575,0.002097535395909806,0.0005243838489774515,0.0005243838489774515,0.003146303093864709
4,0.027837259100642397,0.7408993576017131,0.17130620985010706,0.032119914346895075,0.016059957173447537,0.004817987152034261,0.0026766595289079227,0.0005353319057815846,0.0005353319057815846,0.0016059957173447537,0.0005353319057815846,0.0010706638115631692
5,0.03776683087027915,0.7104542966611932,0.18609742747673783,0.03776683087027915,0.009304871373836891,0.006568144499178982,0.003284072249589491,0.0038314176245210726,0.0010946907498631637,0.0021893814997263274,0.0005473453749315818,0.0010946907498631637
6,0.025912215758857746,0.7863564251718668,0.11634056054997356,0.04019037546271814,0.01269169751454257,0.006345848757271285,0.0026441036488630354,0.004759386567953464,0.0015864621893178213,0.0015864621893178213,0.0005288207297726071,0.0010576414595452142
7,0.024108488196885988,0.7694625816172778,0.1496735308890005,0.030135610246107485,0.014063284781516826,0.0045203415369161224,0.0025113008538422904,0.0005022601707684581,0.0005022601707684581,0.0010045203415369162,0.0005022601707684581,0.0030135610246107484
8,0.02021276595744681,0.773936170212766,0.125,0.043617021276595745,0.019680851063829788,0.005319148936170213,0.003723404255319149,0.0031914893617021275,0.0026595744680851063,0.0,0.0010638297872340426,0.0015957446808510637
9,0.02301255230125523,0.7573221757322176,0.11610878661087866,0.056485355648535567,0.02510460251046025,0.00889121338912134,0.007322175732217573,0.0031380753138075313,0.0005230125523012552,0.0005230125523012552,0.0005230125523012552,0.0010460251046025104
10,0.03384968445209409,0.7343660355708549,0.1417096959265634,0.04704532415375789,0.01721170395869191,0.011474469305794608,0.004016064257028112,0.004016064257028112,0.002294893861158921,0.0005737234652897303,0.0005737234652897303,0.002868617326448652
11,0.030922142462727776,0.7945886250690226,0.11595803423522916,0.034787410270568746,0.008282716731087797,0.006073992269464384,0.0033130866924351186,0.0005521811154058532,0.0005521811154058532,0.0027609055770292656,0.0005521811154058532,0.0016565433462175593
12,0.033278777959629025,0.7561374795417348,0.1336606655755592,0.05182760501909438,0.008183306055646482,0.008183306055646482,0.0038188761593016913,0.0005455537370430987,0.0010911074740861974,0.0005455537370430987,0.0005455537370430987,0.002182214948172395
13,0.027435610302351622,0.7295632698768197,0.167973124300112,0.03975363941769317,0.015117581187010079,0.007838745800671893,0.007278835386338186,0.0016797312430011197,0.0011198208286674132,0.0005599104143337066,0.0011198208286674132,0.0005599104143337066
14,0.03464203233256351,0.7523094688221709,0.12933025404157045,0.05369515011547344,0.013279445727482679,0.008660508083140877,0.004618937644341801,0.0011547344110854503,0.0005773672055427252,0.0,0.0,0.0017321016166281756
15,0.021947101857062466,0.8058525604952167,0.11705120990433314,0.030951041080472707,0.011817670230725942,0.004501969611705121,0.0028137310073157004,0.0022509848058525606,0.0016882386043894203,0.0,0.0,0.0011254924029262803
16,0.021288515406162466,0.7619047619047619,0.1546218487394958,0.03081232492997199,0.015126050420168067,0.00784313725490196,0.0033613445378151263,0.002240896358543417,0.0005602240896358543,0.0005602240896358543,0.0005602240896358543,0.0011204481792717086
17,0.02894088669950739,0.770320197044335,0.1336206896551724,0.03140394088669951,0.017241379310344827,0.009236453201970444,0.003694581280788177,0.0018472906403940886,0.0012315270935960591,0.0,0.0006157635467980296,0.0018472906403940886
18,0.025418833044482957,0.7660311958405546,0.15482380127094164,0.02830733679953784,0.009820912767186597,0.005777007510109763,0.0028885037550548816,0.0017331022530329288,0.0011554015020219526,0.0011554015020219526,0.0005777007510109763,0.002310803004043905
19,0.024125452352231604,0.6990349819059107,0.18516284680337755,0.046441495778045835,0.025331724969843185,0.0048250904704463205,0.006031363088057901,0.0036188178528347406,0.0012062726176115801,0.0018094089264173703,0.0,0.0024125452352231603
20,0.026675341574495772,0.7963565387117761,0.11450878334417697,0.03318152244632401,0.01756668835393624,0.007807417046193884,0.0013012361743656475,0.0,0.0006506180871828237,0.0013012361743656475,0.0,0.0006506180871828237
