Day,Type,Range,Value
15,Trade,21-30,0.041701417848206836
15,Trade,31-40,0.02418682235195997
15,Trade,41-50,0.016680567139282735
15,Trade,51-60,0.008340283569641367
15,Trade,61-70,0.0050041701417848205
15,Trade,71-80,0.0050041701417848205
15,Trade,81-90,0.003336113427856547
15,Trade,91-100,0.0008340283569641367
15,Trade,>100,0.0025020850708924102
16,Trade,0,0.1719022687609075
16,Trade,1-10,0.599476439790576
16,Trade,11-20,0.11780104712041885
16,Trade,21-30,0.04013961605584642
16,Trade,31-40,0.03315881326352531
16,Trade,41-50,0.015706806282722512
16,Trade,51-60,0.004363001745200698
16,Trade,61-70,0.006980802792321117
16,Trade,71-80,0.0017452006980802793
16,Trade,81-90,0.0017452006980802793
16,Trade,91-100,0.0034904013961605585
16,Trade,>100,0.0034904013961605585
17,Trade,0,0.1738013698630137
17,Trade,1-10,0.5941780821917808
17,Trade,11-20,0.1292808219178082
17,Trade,21-30,0.04280821917808219
17,Trade,31-40,0.021404109589041095
17,Trade,41-50,0.017123287671232876
17,Trade,51-60,0.00684931506849315
17,Trade,61-70,0.004280821917808219
17,Trade,71-80,0.0017123287671232876
17,Trade,81-90,0.004280821917808219
17,Trade,91-100,0.0017123287671232876
17,Trade,>100,0.0025684931506849314
18,Trade,0,0.1891891891891892
18,Trade,1-10,0.6033129904097646
18,Trade,11-20,0.11857018308631212
18,Trade,21-30,0.04010462074978204
18,Trade,31-40,0.02005231037489102
18,Trade,41-50,0.006974716652136007
18,Trade,51-60,0.006102877070619006
18,Trade,61-70,0.0052310374891020054
18,Trade,71-80,0.0026155187445510027
18,Trade,81-90,0.0026155187445510027
18,Trade,91-100,0.0008718395815170009
18,Trade,>100,0.004359197907585004
19,Trade,0,0.21292083712465878
19,Trade,1-10,0.5741583257506825
19,Trade,11-20,0.12738853503184713
19,Trade,21-30,0.039126478616924476
19,Trade,31-40,0.020928116469517744
19,Trade,41-50,0.006369426751592357
19,Trade,51-60,0.003639672429481347
19,Trade,61-70,0.003639672429481347
19,Trade,71-80,0.004549590536851683
19,Trade,81-90,0.0
19,Trade,91-100,0.0018198362147406734
19,Trade,>100,0.00545950864422202
20,Trade,0,0.19712918660287082
20,Trade,1-10,0.6
20,Trade,11-20,0.10909090909090909
20,Trade,21-30,0.0354066985645933
20,Trade,31-40,0.023923444976076555
20,Trade,41-50,0.010526315789473684
20,Trade,51-60,0.009569377990430622
20,Trade,61-70,0.0
20,Trade,71-80,0.004784688995215311
20,Trade,81-90,0.003827751196172249
20,Trade,91-100,0.0019138755980861245
20,Trade,>100,0.003827751196172249
21,Trade,0,0.18613861386138614
21,Trade,1-10,0.5762376237623762
21,Trade,11-20,0.1306930693069307
21,Trade,21-30,0.046534653465346534
21,Trade,31-40,0.019801980198019802
21,Trade,41-50,0.020792079207920793
21,Trade,51-60,0.005940594059405941
21,Trade,61-70,0.005940594059405941
21,Trade,71-80,0.0029702970297029703
