Day,Type,Range,Value
15,Attack,0,0.3097389558232932
15,Attack,1-10,0.3890562248995984
15,Attack,11-20,0.1390562248995984
15,Attack,21-30,0.07228915662650602
15,Attack,31-40,0.0391566265060241
15,Attack,41-50,0.02108433734939759
15,Attack,51-60,0.011546184738955823
15,Attack,61-70,0.007530120481927711
15,Attack,71-80,0.002008032128514056
15,Attack,81-90,0.0025100401606425703
15,Attack,91-100,0.0035140562248995983
15,Attack,>100,0.0025100401606425703
16,Attack,0,0.2969849246231156
16,Attack,1-10,0.36231155778894475
16,Attack,11-20,0.1527638190954774
16,Attack,21-30,0.08241206030150754
16,Attack,31-40,0.04522613065326633
16,Attack,41-50,0.024623115577889446
16,Attack,51-60,0.016582914572864323
16,Attack,61-70,0.007537688442211055
16,Attack,71-80,0.004522613065326633
16,Attack,81-90,0.0005025125628140704
16,Attack,91-100,0.0035175879396984926
16,Attack,>100,0.003015075376884422
17,Attack,0,0.29742268041237113
17,Attack,1-10,0.35670103092783506
17,Attack,11-20,0.14845360824742268
17,Attack,21-30,0.08402061855670104
17,Attack,31-40,0.049484536082474224
17,Attack,41-50,0.025257731958762887
17,Attack,51-60,0.01752577319587629
17,Attack,61-70,0.010309278350515464
17,Attack,71-80,0.004639175257731959
17,Attack,81-90,0.0005154639175257732
17,Attack,91-100,0.002061855670103093
17,Attack,>100,0.0036082474226804126
18,Attack,0,0.30157068062827225
18,Attack,1-10,0.3706806282722513
18,Attack,11-20,0.1356020942408377
18,Attack,21-30,0.07643979057591622
18,Attack,31-40,0.04607329842931937
18,Attack,41-50,0.029842931937172777
18,Attack,51-60,0.014136125654450262
18,Attack,61-70,0.008900523560209424
18,Attack,71-80,0.007853403141361256
18,Attack,81-90,0.0020942408376963353
18,Attack,91-100,0.0010471204188481676
18,Attack,>100,0.005759162303664921
19,Attack,0,0.2930747922437673
19,Attack,1-10,0.3844875346260388
19,Attack,11-20,0.1440443213296399
19,Attack,21-30,0.08310249307479224
19,Attack,31-40,0.043213296398891966
19,Attack,41-50,0.026592797783933517
19,Attack,51-60,0.010526315789473684
19,Attack,61-70,0.006648199445983379
19,Attack,71-80,0.00110803324099723
19,Attack,81-90,0.0016620498614958448
19,Attack,91-100,0.0016620498614958448
19,Attack,>100,0.003878116343490305
20,Attack,0,0.3228995057660626
20,Attack,1-10,0.3542009884678748
20,Attack,11-20,0.15485996705107083
20,Attack,21-30,0.0829214717188358
20,Attack,31-40,0.032399780340472265
20,Attack,41-50,0.02580999450851181
20,Attack,51-60,0.011532125205930808
20,Attack,61-70,0.0060406370126304225
20,Attack,71-80,0.0027457440966501922
20,Attack,81-90,0.003844041735310269
20,Attack,91-100,0.0016474464579901153
20,Attack,>100,0.001098297638660077
21,Attack,0,0.3096280087527352
21,Attack,1-10,0.37800875273522977
21,Attack,11-20,0.13730853391684902
21,Attack,21-30,0.08041575492341356
21,Attack,31-40,0.04048140043763676
21,Attack,41-50,0.023522975929978117
21,Attack,51-60,0.01586433260393873
21,Attack,61-70,0.007111597374179431
21,Attack,71-80,0.0032822757111597373
21,Attack,81-90,0.0005470459518599562
21,Attack,91-100,0.0005470459518599562
21,Attack,>100,0.0032822757111597373
22,Attack,0,0.31380281690140843
22,Attack,1-10,0.4028169014084507
22,Attack,11-20,0.1323943661971831
22,Attack,21-30,0.06591549295774649
22,Attack,31-40,0.036619718309859155
22,Attack,41-50,0.02028169014084507
22,Attack,51-60,0.013521126760563381
22,Attack,61-70,0.006197183098591549
22,Attack,71-80,0.0028169014084507044
22,Attack,81-90,0.0022535211267605635
22,Attack,91-100,0.0005633802816901409
22,Attack,>100,0.0028169014084507044
23,Attack,0,0.30600461893764436
23,Attack,1-10,0.407621247113164
23,Attack,11-20,0.13337182448036952
23,Attack,21-30,0.06986143187066975
23,Attack,31-40,0.03464203233256351
23,Attack,41-50,0.02367205542725173
23,Attack,51-60,0.010392609699769052
23,Attack,61-70,0.004618937644341801
23,Attack,71-80,0.0011547344110854503
23,Attack,81-90,0.0040415704387990765
23,Attack,91-100,0.0017321016166281756
23,Attack,>100,0.002886836027713626
24,Attack,0,0.30885780885780884
24,Attack,1-10,0.40617715617715616
24,Attack,11-20,0.13053613053613053
24,Attack,21-30,0.06818181818181818
24,Attack,31-40,0.03613053613053613
24,Attack,41-50,0.02505827505827506
24,Attack,51-60,0.011655011655011656
24,Attack,61-70,0.002913752913752914
24,Attack,71-80,0.004079254079254079
24,Attack,81-90,0.0017482517482517483
24,Attack,91-100,0.0005827505827505828
24,Attack,>100,0.004079254079254079
25,Attack,0,0.2872727272727273
25,Attack,1-10,0.42
25,Attack,11-20,0.13696969696969696
25,Attack,21-30,0.08303030303030302
25,Attack,31-40,0.03090909090909091
25,Attack,41-50,0.017575757575757574
25,Attack,51-60,0.010303030303030303
25,Attack,61-70,0.0036363636363636364
25,Attack,71-80,0.0030303030303030303
25,Attack,81-90,0.0036363636363636364
25,Attack,91-100,0.0018181818181818182
25,Attack,>100,0.0018181818181818182
26,Attack,0,0.2863170584689572
26,Attack,1-10,0.39300783604581074
26,Attack,11-20,0.1350210970464135
26,Attack,21-30,0.07775768535262206
26,Attack,31-40,0.0433996383363472
26,Attack,41-50,0.02591922845087402
26,Attack,51-60,0.01567209162145871
26,Attack,61-70,0.009041591320072333
26,Attack,71-80,0.006027727546714889
26,Attack,81-90,0.0012055455093429777
26,Attack,91-100,0.0012055455093429777
26,Attack,>100,0.0054249547920434
27,Attack,0,0.3037602820211516
27,Attack,1-10,0.408930669800235
27,Attack,11-20,0.12514688601645124
27,Attack,21-30,0.06227967097532315
27,Attack,31-40,0.038777908343125736
27,Attack,41-50,0.0282021151586369
27,Attack,51-60,0.013513513513513514
27,Attack,61-70,0.008225616921269096
27,Attack,71-80,0.0035252643948296123
27,Attack,81-90,0.002937720329024677
27,Attack,91-100,0.0
27,Attack,>100,0.004700352526439483
28,Attack,0,0.3061849357011635
28,Attack,1-10,0.38946723821187995
28,Attack,11-20,0.13655848132271892
28,Attack,21-30,0.06062461726883037
28,Attack,31-40,0.04654011022657685
28,Attack,41-50,0.027556644213104716
28,Attack,51-60,0.01224739742804654
28,Attack,61-70,0.007960808328230252
28,Attack,71-80,0.003674219228413962
28,Attack,81-90,0.003674219228413962
28,Attack,91-100,0.001837109614206981
28,Attack,>100,0.003674219228413962
29,Attack,0,0.30445103857566763
29,Attack,1-10,0.4023738872403561
29,Attack,11-20,0.13471810089020772
29,Attack,21-30,0.06172106824925816
29,Attack,31-40,0.04451038575667656
29,Attack,41-50,0.026706231454005934
29,Attack,51-60,0.013056379821958458
29,Attack,61-70,0.004154302670623145
29,Attack,71-80,0.002373887240356083
29,Attack,81-90,0.0011869436201780415
29,Attack,91-100,0.0005934718100890207
29,Attack,>100,0.004154302670623145
30,Attack,0,0.30310407790626903
30,Attack,1-10,0.41022519780888617
30,Attack,11-20,0.11503347534996956
30,Attack,21-30,0.07486305538648813
30,Attack,31-40,0.035909920876445525
30,Attack,41-50,0.030432136335970784
30,Attack,51-60,0.01278149726110773
30,Attack,61-70,0.00852099817407182
30,Attack,71-80,0.0018259281801582471
30,Attack,81-90,0.0030432136335970784
30,Attack,91-100,0.0012172854534388314
30,Attack,>100,0.0030432136335970784
