Day,0,1-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,>100
1,0.1661676646706587,0.6534431137724551,0.10404191616766467,0.033682634730538924,0.021706586826347306,0.006736526946107785,0.004491017964071856,0.0029940119760479044,0.0014970059880239522,0.0014970059880239522,0.0,0.0037425149700598802
2,0.16514459665144596,0.654490106544901,0.1141552511415525,0.0319634703196347,0.01598173515981735,0.00380517503805175,0.0060882800608828,0.0030441400304414,0.0030441400304414,0.0015220700152207,0.0,0.00076103500761035
3,0.15642023346303502,0.6614785992217899,0.1066147859922179,0.038910505836575876,0.017120622568093387,0.00933852140077821,0.0038910505836575876,0.0023346303501945525,0.0015564202334630351,0.0,0.0,0.0023346303501945525
4,0.17059301380991065,0.6482534524776604,0.10641754670999187,0.039805036555645816,0.012997562956945572,0.006498781478472786,0.00487408610885459,0.002437043054427295,0.003249390739236393,0.0016246953696181965,0.0008123476848090983,0.002437043054427295
5,0.15629984051036683,0.6411483253588517,0.11562998405103668,0.03907496012759171,0.02073365231259968,0.01036682615629984,0.007177033492822967,0.003189792663476874,0.001594896331738437,0.0,0.0007974481658692185,0.003987240829346092
6,0.1656298600311042,0.6298600311041991,0.1088646967340591,0.048989113530326596,0.02177293934681182,0.008553654743390357,0.0023328149300155523,0.0038880248833592537,0.005443234836702955,0.0023328149300155523,0.0007776049766718507,0.0015552099533437014
7,0.17374517374517376,0.6355212355212355,0.10810810810810811,0.036293436293436294,0.018532818532818532,0.010038610038610039,0.0069498069498069494,0.0023166023166023165,0.003861003861003861,0.0015444015444015444,0.0007722007722007722,0.0023166023166023165
8,0.16679968076616122,0.6384676775738228,0.11173184357541899,0.041500399042298484,0.017557861133280128,0.011971268954509178,0.0039904229848363925,0.0023942537909018356,0.0015961691939345571,0.0023942537909018356,0.0,0.0015961691939345571
9,0.17981072555205047,0.6324921135646687,0.11356466876971609,0.032334384858044164,0.01892744479495268,0.007886435331230283,0.007097791798107256,0.0031545741324921135,0.0,0.0015772870662460567,0.0007886435331230284,0.002365930599369085
10,0.17067307692307693,0.6201923076923077,0.13060897435897437,0.03766025641025641,0.017628205128205128,0.010416666666666666,0.005608974358974359,0.003205128205128205,0.0,0.0,0.002403846153846154,0.0016025641025641025
