type,range,value
Message,0,0.6224806041666667
Trade,0,0.8207075395333334
Total,0,0.5407499588666664
Message,1-3,0.24915344466666672
Trade,1-3,0.13062436926666665
Total,1-3,0.2948362598
Message,4-6,0.05487406433333333
Trade,4-6,0.019104231699999998
Total,4-6,0.0686850735
Message,7-9,0.02542027543333333
Trade,7-9,0.0024604326666666666
Total,7-9,0.028440930266666668
Message,>9,0.04807152816666667
Trade,>9,0.02710334386666666
Total,>9,0.0672876944
