day,diameter
1,5
2,5
3,7
4,6
5,6
6,5
7,7
8,5
9,5
10,7
11,4
12,5
13,7
14,4
15,4
16,4
17,5
18,6
19,6
20,6
21,5
22,5
23,3
24,5
25,4
26,7
27,5
28,5
29,6
30,4
