day,density
1,0.009523809523809523
2,0.002419842710223835
3,0.006722689075630252
4,0.006157635467980296
5,0.01455026455026455
6,0.011088709677419355
7,0.0043541364296081275
8,0.002639517345399698
9,0.024774774774774775
10,0.008974358974358974
11,0.003132832080200501
12,0.004377104377104377
13,0.005590496156533892
14,0.003843466107617051
15,0.005805515239477504
16,0.006894049346879535
17,0.020689655172413793
18,0.004519774011299435
19,0.00980392156862745
20,0.006006006006006006
21,0.014942528735632184
22,0.009072580645161291
23,0.003246753246753247
24,0.013227513227513229
25,0.010344827586206896
26,0.016098484848484848
27,0.003446115288220551
28,0.012096774193548387
29,0.01935483870967742
30,0.0039548022598870055
