day,diameter
1,4
2,4
3,7
4,6
5,3
6,5
7,4
8,4
9,5
10,7
11,3
12,5
13,6
14,4
15,4
16,4
17,3
18,4
19,6
20,7
21,4
22,4
23,3
24,6
25,4
26,4
27,5
28,5
29,6
30,4
