day,density
1,0.02142857142857143
2,0.028130671506352088
3,0.03277310924369748
4,0.034482758620689655
5,0.0291005291005291
6,0.04032258064516129
7,0.031567489114658925
8,0.03469079939668175
9,0.044294294294294295
10,0.03397435897435897
11,0.02349624060150376
12,0.047474747474747475
13,0.031097134870719776
14,0.030398322851153042
15,0.031204644412191583
16,0.03265602322206096
17,0.03563218390804598
18,0.02485875706214689
19,0.03654188948306595
20,0.02702702702702703
21,0.03333333333333333
22,0.03326612903225806
23,0.025974025974025976
24,0.03968253968253968
25,0.02413793103448276
26,0.03787878787878788
27,0.028508771929824563
28,0.046370967741935484
29,0.05161290322580645
30,0.027401129943502824
