day,type,range,value
13,Total,>9,0.037037037
14,Message,0,0.0
14,Message,1-3,0.888888889
14,Message,4-6,0.074074074
14,Message,7-9,0.0
14,Message,>9,0.037037037
14,Trade,0,0.833333333
14,Trade,1-3,0.092592593
14,Trade,4-6,0.018518519
14,Trade,7-9,0.018518519
14,Trade,>9,0.037037037
14,Total,0,0.0
14,Total,1-3,0.796296296
14,Total,4-6,0.092592593
14,Total,7-9,0.018518519
14,Total,>9,0.092592593
15,Message,0,0.0
15,Message,1-3,0.886792453
15,Message,4-6,0.094339623
15,Message,7-9,0.0
15,Message,>9,0.018867925
15,Trade,0,0.830188679
15,Trade,1-3,0.037735849
15,Trade,4-6,0.056603774
15,Trade,7-9,0.0
15,Trade,>9,0.075471698
15,Total,0,0.0
15,Total,1-3,0.811320755
15,Total,4-6,0.056603774
15,Total,7-9,0.037735849
15,Total,>9,0.094339623
16,Message,0,0.0
16,Message,1-3,0.905660377
16,Message,4-6,0.018867925
16,Message,7-9,0.018867925
16,Message,>9,0.056603774
16,Trade,0,0.698113208
16,Trade,1-3,0.150943396
16,Trade,4-6,0.113207547
16,Trade,7-9,0.0
16,Trade,>9,0.037735849
16,Total,0,0.0
16,Total,1-3,0.754716981
16,Total,4-6,0.113207547
16,Total,7-9,0.056603774
16,Total,>9,0.075471698
17,Message,0,0.733333333
17,Message,1-3,0.166666667
17,Message,4-6,0.0
17,Message,7-9,0.1
17,Message,>9,0.0
17,Trade,0,0.533333333
17,Trade,1-3,0.2
17,Trade,4-6,0.1
17,Trade,7-9,0.066666667
17,Trade,>9,0.1
17,Total,0,0.366666667
17,Total,1-3,0.333333333
17,Total,4-6,0.1
17,Total,7-9,0.033333333
17,Total,>9,0.166666667
18,Message,0,0.0
18,Message,1-3,0.933333333
18,Message,4-6,0.05
18,Message,7-9,0.0
18,Message,>9,0.016666667
18,Trade,0,0.8
18,Trade,1-3,0.083333333
18,Trade,4-6,0.033333333
18,Trade,7-9,0.033333333
18,Trade,>9,0.05
18,Total,0,0.0
18,Total,1-3,0.85
18,Total,4-6,0.05
18,Total,7-9,0.016666667
18,Total,>9,0.083333333
19,Message,0,0.5
19,Message,1-3,0.352941176
19,Message,4-6,0.088235294
19,Message,7-9,0.029411765
19,Message,>9,0.029411765
19,Trade,0,0.705882353
19,Trade,1-3,0.117647059
19,Trade,4-6,0.058823529
19,Trade,7-9,0.029411765
19,Trade,>9,0.088235294
19,Total,0,0.411764706
19,Total,1-3,0.264705882
19,Total,4-6,0.117647059
19,Total,7-9,0.088235294
19,Total,>9,0.117647059
20,Message,0,0.432432432
20,Message,1-3,0.459459459
20,Message,4-6,0.054054054
20,Message,7-9,0.0
20,Message,>9,0.054054054
20,Trade,0,0.783783784
20,Trade,1-3,0.081081081
20,Trade,4-6,0.0
20,Trade,7-9,0.0
20,Trade,>9,0.135135135
20,Total,0,0.351351351
20,Total,1-3,0.405405405
20,Total,4-6,0.081081081
20,Total,7-9,0.0
20,Total,>9,0.162162162
21,Message,0,0.666666667
21,Message,1-3,0.133333333
21,Message,4-6,0.066666667
21,Message,7-9,0.033333333
21,Message,>9,0.1
21,Trade,0,0.7
21,Trade,1-3,0.1
21,Trade,4-6,0.033333333
21,Trade,7-9,0.066666667
21,Trade,>9,0.1
21,Total,0,0.566666667
21,Total,1-3,0.1
21,Total,4-6,0.1
21,Total,7-9,0.0
21,Total,>9,0.233333333
22,Message,0,0.53125
22,Message,1-3,0.25
22,Message,4-6,0.125
22,Message,7-9,0.0625
22,Message,>9,0.03125
22,Trade,0,0.75
22,Trade,1-3,0.125
22,Trade,4-6,0.0
22,Trade,7-9,0.0625
22,Trade,>9,0.0625
22,Total,0,0.4375
22,Total,1-3,0.25
22,Total,4-6,0.125
22,Total,7-9,0.0625
22,Total,>9,0.125
23,Message,0,0.0
23,Message,1-3,0.910714286
23,Message,4-6,0.053571429
23,Message,7-9,0.0
23,Message,>9,0.035714286
23,Trade,0,0.839285714
23,Trade,1-3,0.053571429
23,Trade,4-6,0.0
23,Trade,7-9,0.053571429
23,Trade,>9,0.053571429
23,Total,0,0.0
23,Total,1-3,0.839285714
23,Total,4-6,0.035714286
23,Total,7-9,0.017857143
23,Total,>9,0.107142857
24,Message,0,0.535714286
24,Message,1-3,0.321428571
24,Message,4-6,0.071428571
24,Message,7-9,0.0
24,Message,>9,0.071428571
24,Trade,0,0.642857143
24,Trade,1-3,0.285714286
24,Trade,4-6,0.0
24,Trade,7-9,0.071428571
24,Trade,>9,0.0
24,Total,0,0.357142857
24,Total,1-3,0.392857143
24,Total,4-6,0.071428571
24,Total,7-9,0.107142857
24,Total,>9,0.071428571
25,Message,0,0.666666667
25,Message,1-3,0.266666667
25,Message,4-6,0.0
25,Message,7-9,0.033333333
25,Message,>9,0.033333333
25,Trade,0,0.733333333
25,Trade,1-3,0.1
25,Trade,4-6,0.1
25,Trade,7-9,0.033333333
25,Trade,>9,0.033333333
25,Total,0,0.533333333
25,Total,1-3,0.266666667
25,Total,4-6,0.066666667
25,Total,7-9,0.066666667
25,Total,>9,0.066666667
26,Message,0,0.515151515
26,Message,1-3,0.393939394
26,Message,4-6,0.03030303
26,Message,7-9,0.03030303
26,Message,>9,0.03030303
26,Trade,0,0.606060606
26,Trade,1-3,0.212121212
26,Trade,4-6,0.121212121
26,Trade,7-9,0.03030303
26,Trade,>9,0.03030303
26,Total,0,0.363636364
26,Total,1-3,0.393939394
26,Total,4-6,0.090909091
26,Total,7-9,0.060606061
26,Total,>9,0.090909091
27,Message,0,0.0
27,Message,1-3,0.877192982
27,Message,4-6,0.070175439
27,Message,7-9,0.01754386
27,Message,>9,0.035087719
27,Trade,0,0.807017544
27,Trade,1-3,0.105263158
27,Trade,4-6,0.01754386
27,Trade,7-9,0.070175439
27,Trade,>9,0.0
27,Total,0,0.0
27,Total,1-3,0.754385965
27,Total,4-6,0.122807018
27,Total,7-9,0.01754386
27,Total,>9,0.105263158
28,Message,0,0.28125
28,Message,1-3,0.40625
28,Message,4-6,0.15625
28,Message,7-9,0.0625
28,Message,>9,0.09375
28,Trade,0,0.71875
28,Trade,1-3,0.03125
28,Trade,4-6,0.09375
28,Trade,7-9,0.125
28,Trade,>9,0.03125
28,Total,0,0.25
28,Total,1-3,0.28125
28,Total,4-6,0.1875
28,Total,7-9,0.0625
28,Total,>9,0.21875
29,Message,0,0.419354839
29,Message,1-3,0.258064516
29,Message,4-6,0.193548387
29,Message,7-9,0.0
29,Message,>9,0.129032258
29,Trade,0,0.516129032
29,Trade,1-3,0.258064516
29,Trade,4-6,0.096774194
29,Trade,7-9,0.096774194
29,Trade,>9,0.032258065
29,Total,0,0.225806452
29,Total,1-3,0.35483871
29,Total,4-6,0.161290323
29,Total,7-9,0.064516129
29,Total,>9,0.193548387
30,Message,0,0.0
30,Message,1-3,0.85
30,Message,4-6,0.05
30,Message,7-9,0.033333333
30,Message,>9,0.066666667
30,Trade,0,0.85
30,Trade,1-3,0.033333333
30,Trade,4-6,0.05
30,Trade,7-9,0.05
30,Trade,>9,0.016666667
30,Total,0,0.0
30,Total,1-3,0.8
30,Total,4-6,0.05
30,Total,7-9,0.033333333
30,Total,>9,0.116666667
