day,density
1,0.014285714285714285
2,0.027525710828796127
3,0.031932773109243695
4,0.030788177339901475
5,0.021164021164021163
6,0.034274193548387094
7,0.029753265602322207
8,0.032805429864253395
9,0.026276276276276277
10,0.026923076923076925
11,0.021616541353383457
12,0.045454545454545456
13,0.025856044723969254
14,0.02795248078266946
15,0.027213352685050797
16,0.02685050798258345
17,0.01954022988505747
18,0.022033898305084745
19,0.029411764705882353
20,0.022522522522522525
21,0.026436781609195405
22,0.02620967741935484
23,0.025324675324675323
24,0.027777777777777776
25,0.01954022988505747
26,0.027462121212121212
27,0.026942355889724313
28,0.04435483870967742
29,0.04086021505376344
30,0.025706214689265535
