day;type;range;value
1,Message,0,0.694444444
1,Message,1-3,0.222222222
1,Message,4-6,0.083333333
1,Message,7-9,0.0
1,Message,>9,0.0
1,Trade,0,0.833333333
1,Trade,1-3,0.138888889
1,Trade,4-6,0.0
1,Trade,7-9,0.0
1,Trade,>9,0.027777778
1,Total,0,0.583333333
1,Total,1-3,0.333333333
1,Total,4-6,0.055555556
1,Total,7-9,0.0
1,Total,>9,0.027777778
2,Message,0,0.689655172
2,Message,1-3,0.206896552
2,Message,4-6,0.051724138
2,Message,7-9,0.0
2,Message,>9,0.051724138
2,Trade,0,0.913793103
2,Trade,1-3,0.051724138
2,Trade,4-6,0.017241379
2,Trade,7-9,0.0
2,Trade,>9,0.017241379
2,Total,0,0.672413793
2,Total,1-3,0.206896552
2,Total,4-6,0.068965517
2,Total,7-9,0.0
2,Total,>9,0.051724138
3,Message,0,0.457142857
3,Message,1-3,0.257142857
3,Message,4-6,0.2
3,Message,7-9,0.0
3,Message,>9,0.085714286
3,Trade,0,0.857142857
3,Trade,1-3,0.028571429
3,Trade,4-6,0.085714286
3,Trade,7-9,0.0
3,Trade,>9,0.028571429
3,Total,0,0.457142857
3,Total,1-3,0.228571429
3,Total,4-6,0.171428571
3,Total,7-9,0.028571429
3,Total,>9,0.114285714
4,Message,0,0.551724138
4,Message,1-3,0.206896552
4,Message,4-6,0.137931034
4,Message,7-9,0.0
4,Message,>9,0.103448276
4,Trade,0,0.862068966
4,Trade,1-3,0.103448276
4,Trade,4-6,0.0
4,Trade,7-9,0.0
4,Trade,>9,0.034482759
4,Total,0,0.517241379
4,Total,1-3,0.24137931
4,Total,4-6,0.103448276
4,Total,7-9,0.0
4,Total,>9,0.137931034
5,Message,0,0.571428571
5,Message,1-3,0.357142857
5,Message,4-6,0.035714286
5,Message,7-9,0.035714286
5,Message,>9,0.0
5,Trade,0,0.714285714
5,Trade,1-3,0.214285714
5,Trade,4-6,0.035714286
5,Trade,7-9,0.0
5,Trade,>9,0.035714286
5,Total,0,0.464285714
5,Total,1-3,0.357142857
5,Total,4-6,0.107142857
5,Total,7-9,0.035714286
5,Total,>9,0.035714286
6,Message,0,0.53125
6,Message,1-3,0.28125
6,Message,4-6,0.0625
6,Message,7-9,0.0625
6,Message,>9,0.0625
6,Trade,0,0.84375
6,Trade,1-3,0.125
6,Trade,4-6,0.0
6,Trade,7-9,0.0
6,Trade,>9,0.03125
6,Total,0,0.4375
6,Total,1-3,0.375
6,Total,4-6,0.03125
6,Total,7-9,0.09375
6,Total,>9,0.0625
7,Message,0,0.660377358
7,Message,1-3,0.245283019
7,Message,4-6,0.0
7,Message,7-9,0.075471698
7,Message,>9,0.018867925
