type,range,value
Message,0,0.3006319366333334
Trade,0,0.7568033631
Total,0,0.22575565909999998
Message,1-3,0.5578522184
Trade,1-3,0.12315466836666668
Total,1-3,0.5323052305666668
Message,4-6,0.07204766173333334
Trade,4-6,0.04415863836666666
Total,4-6,0.09553799943333334
Message,7-9,0.0264948761
Trade,7-9,0.034570828
Total,7-9,0.043326714300000006
Message,>9,0.04297322386666667
Trade,>9,0.04131241903333333
Total,>9,0.10307431339999999
