day;averagePathLength
1;2.1578947368421053
2;2.3285077951002227
3;3.032258064516129
4;2.6371681415929205
5;1.4827586206896552
6;2.34640522875817
7;1.9895287958115184
8;2.4177215189873418
9;2.756198347107438
10;3.05685618729097
11;1.9584569732937684
12;2.2906208718626155
13;2.83587786259542
14;2.5788712011577424
15;2.450570342205323
16;2.3333333333333335
17;1.7692307692307692
18;2.9399038461538463
19;2.338709677419355
20;2.856164383561644
21;2.3783783783783785
22;2.2718446601941746
23;1.9394618834080717
24;2.8173076923076925
25;1.8571428571428572
26;1.7704918032786885
27;2.0377358490566038
28;2.5535714285714284
29;2.6565217391304348
30;2.390827517447657
