day,averagePathLength
1,2.5123456790123457
2,2.37384140061792
3,3.004032258064516
4,2.7058823529411766
5,2.2714285714285714
6,2.3055555555555554
7,2.4406130268199235
8,2.547790339157246
9,2.5616438356164384
10,3.140969162995595
11,2.687587168758717
12,2.440825190010858
13,3.019914651493599
14,2.614247311827957
15,2.7594594594594595
16,2.329428989751098
17,2.368794326241135
18,3.569620253164557
19,2.254335260115607
20,2.747311827956989
21,2.2738853503184715
22,2.479768786127168
23,2.045816733067729
24,2.4592592592592593
25,1.9189189189189189
26,2.830188679245283
27,2.0835266821345706
28,2.583629893238434
29,2.882063882063882
30,2.4692239072256914
